Iteration,Diversity,Strength,Resourcefulness
1,1.4142135623730951,2.0,2.0
2,0.5,2.5,1.5
3,1.5236033621142737,1.8571428571428572,2.142857142857143
4,1.9142135623730951,1.5,2.5
5,0.5163977794943222,1.6666666666666667,2.3333333333333335
6,1.4142135623730951,1.8333333333333333,2.1666666666666665
7,1.2844570503761732,2.5,1.5
8,0.5773502691896257,1.5,2.5
9,0.0,2.3333333333333335,1.6666666666666667
10,0.5477225575051661,1.6,2.4
11,0.9574271077563381,1.6666666666666667,2.3333333333333335
12,0.0,2.0,2.0
13,1.0,2.0,2.0
14,0.5773502691896257,2.0,2.0
15,0.7071067811865476,1.75,2.25
16,0.5163977794943222,2.0,2.0
17,0.5477225575051661,1.6,2.4
18,1.7071067811865475,1.8571428571428572,2.142857142857143
19,0.5477225575051661,1.6,2.4
20,0.7071067811865476,2.0,2.0
